"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"31","0512511","1","1","1","1","4437","0","0","0","0","0","0","0","0","0","4048","0","0","0","0","0","0","0","0","0","0","0","1512","0","0","0","0","2291","0","1592","0","2308","7","1651","13","74","2","2220","2521","1344","2815","1100","3004","877","2380","1545","2918","999","2251","1586","2034","1804","3180","703","1168","2723","3080","792","2235","1582","2613","1200","0","1407","0","0","2389"
"31","0512513","1","1","1","1","1439","0","0","0","0","0","0","0","0","0","1235","0","0","0","0","0","0","0","0","0","0","0","381","0","0","0","0","770","0","419","0","756","7","446","6","27","4","726","780","393","894","302","938","238","769","422","945","248","717","448","606","556","956","211","346","828","904","269","668","488","839","326","0","381","0","0","770"
"31","0512518","1","1","1","1","22","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","17","0","2","0","18","0","2","0","0","0","18","13","7","19","0","17","3","16","4","20","0","13","7","8","12","18","2","4","16","18","2","15","4","15","5","0","2","0","0","17"
"31","0512527","1","1","1","1","531","0","0","0","0","0","0","0","0","0","481","0","0","0","0","0","0","0","0","0","0","0","176","0","0","0","0","276","0","186","0","278","1","188","1","12","1","268","309","157","349","119","356","105","296","170","350","119","249","208","229","217","368","93","145","321","387","72","270","191","313","144","0","171","0","0","282"
"31","0512529","1","1","1","1","909","0","0","0","0","0","0","0","0","0","831","0","0","0","0","0","0","0","0","0","0","0","300","0","0","0","0","490","0","310","0","495","2","316","0","17","0","477","545","267","610","200","644","161","529","282","619","193","517","288","394","403","640","156","214","591","660","143","483","312","565","238","0","287","0","0","497"
"31","0512533","1","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","0512601","1","4","1","1","17","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","8","0","6","0","8","0","6","0","0","0","8","6","7","12","1","13","1","9","5","10","4","9","3","8","6","11","2","1","12","10","4","8","6","8","5","0","5","0","0","8"
"31","0512602","1","4","1","1","336","0","0","0","0","0","0","0","0","0","307","0","0","0","0","0","0","0","0","0","0","0","104","0","0","0","0","184","0","106","0","191","2","103","0","6","0","190","208","88","229","69","241","55","185","116","222","76","193","99","163","127","247","47","97","198","237","66","150","144","213","83","0","102","0","0","184"
"31","0512603","1","4","1","1","4167","0","0","0","0","0","0","0","0","0","3667","0","0","0","0","0","0","0","0","0","0","0","1030","0","0","0","0","2407","0","1109","0","2421","6","1112","10","50","2","2438","2419","1033","2831","726","2996","524","2428","1109","2889","655","2248","1228","1781","1672","2901","595","1006","2480","2837","647","2046","1415","2619","824","0","990","0","0","2453"
"31","0512608","1","4","1","1","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","0","1","1","2","0","0","2","2","0","0","1","0","0","0"
